drama_name,genre,whole_density,whole_diameter,whole_average_clustering,wo1_density,wo1_diameter,wo1_average_clustering,wo2_density,wo2_diameter,wo2_average_clustering,wo3_density,wo3_diameter,wo3_average_clustering,wo4_density,wo4_diameter,wo4_average_clustering,wo5_density,wo5_diameter,wo5_average_clustering
Faust-TrauerspielmitGesangundTanz,Tragedy,0.11562782294489611,0,0.8625689098138923,0.13963782696177063,0,0.8539570034616167,0.14731934731934732,0,0.8865209592608974,0.12035087719298246,4,0.9009715983176143,0.12906057945566285,0,0.8570853408580955,0.1371584699453552,0,0.8296771291770282
Zriny-EinTrauerspielinfünfAufzügen,Tragedy,0.2561576354679803,4,0.7962851425646345,0.30333333333333334,3,0.7702344844697785,0.2644927536231884,4,0.8087708587708587,0.26495726495726496,0,0.8300110383443716,0.25396825396825395,4,0.7728110548599271,0.2706552706552707,4,0.7948642316289377
GygesundseinRing-EineTragödieinfünfAkten,Tragedy,0.9722222222222222,2,0.9722222222222222,1.0,1,1.0,0.9722222222222222,2,0.9722222222222222,0.9722222222222222,2,0.9722222222222222,0.9722222222222222,2,0.9722222222222222,0.8888888888888888,2,0.9365079365079363
LeoArmeniusoderFürsten-Mord-Trauer-spiel,Tragedy,0.23481781376518218,5,0.8713370600010276,0.22672064777327935,5,0.8714492615778636,0.25396825396825395,5,0.800192466263895,0.27563025210084036,5,0.8905343899306746,0.2827586206896552,3,0.878102073365231,0.26554621848739496,5,0.8663081947292472
Miltiades-EinTrauerspielinfünfAufzügen,Tragedy,0.5604395604395604,3,0.7447330447330448,0.5384615384615384,3,0.7887188208616779,0.6282051282051282,3,0.7572649572649574,0.5054945054945055,3,0.7511801690373119,0.4945054945054945,3,0.7403061224489795,0.4230769230769231,3,0.8034798534798534
Faust-EineTragödie,Tragedy,0.2218350754936121,4,0.8357901552229285,0.26881720430107525,4,0.8501929158760277,0.23351158645276293,4,0.7987464477083855,0.2619047619047619,4,0.8521143979477314,0.25177809388335703,0,0.7942701728507358,0.22439024390243903,0,0.8817465851540458
DerromantischeÖdipus-EinLustspielin5Akten,Comedy,0.4588744588744589,0,0.9040504949595859,0.4588744588744589,0,0.9040504949595859,0.45789473684210524,0,0.9384615384615383,0.47058823529411764,0,0.9358288770053476,0.4789473684210526,0,0.9340659340659341,0.4857142857142857,0,0.8994814709100423
DerDiamant-EineKomödieinfünfAkten,Comedy,0.3736842105263158,0,0.9027777777777777,0.43137254901960786,0,0.9353535353535354,0.3736842105263158,0,0.9027777777777777,0.3736842105263158,0,0.9027777777777777,0.3736842105263158,0,0.9027777777777777,0.4358974358974359,3,0.8451770451770452
Struensee-TragödieinfünfAkten,Tragedy,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
DieSpanierinPeruoder:RollasTod-EinromantischesTrauerspielinfünfAufzügen,Tragedy,0.1803921568627451,4,0.8735775663930826,0.2183507549361208,3,0.8859409818808315,0.23846153846153847,4,0.8660859646889059,0.1934566145092461,4,0.839465010820421,0.19047619047619047,4,0.872422102306999,0.2264808362369338,4,0.8805492067599542
EinBruderzwistinHabsburg-TrauerspielinfünfAufzügen,Tragedy,0.47342995169082125,2,0.8879853561252619,0.5105204872646734,2,0.8949748827577007,0.5225806451612903,2,0.8718065536553676,0.5038759689922481,2,0.90011115153122,0.5,2,0.9090699602769275,0.5769230769230769,2,0.8886088951057317
Julie-EinTrauerspielinfünfAufzügen,Tragedy,0.4888888888888889,3,0.6290476190476191,0.4444444444444444,4,0.5142857142857142,0.4666666666666667,3,0.6342857142857142,0.4666666666666667,3,0.6109523809523809,0.5277777777777778,3,0.8222222222222222,0.4,3,0.59
