title,title_pretty,genre,is_whole,acts_1_density,acts_1_diameter,acts_1_average_clustering,acts_1-2_density,acts_1-2_diameter,acts_1-2_average_clustering,acts_1-2-3_density,acts_1-2-3_diameter,acts_1-2-3_average_clustering,acts_1-2-3-4_density,acts_1-2-3-4_diameter,acts_1-2-3-4_average_clustering,acts_1-2-3-4-5_density,acts_1-2-3-4-5_diameter,acts_1-2-3-4-5_average_clustering
corneillep-heraclius,"Héraclius, Empereur d'Orient",Tragedy,True,0.6,3,0.5333333333333333,0.4166666666666667,4,0.5074074074074074,0.4,4,0.48,0.5333333333333333,3,0.7023809523809523,0.7111111111111111,3,0.8595238095238095
corneillep-horace,Horace,Tragedy,True,0.6666666666666666,2,0.5833333333333334,0.6190476190476191,2,0.6904761904761905,0.7142857142857143,2,0.7571428571428571,0.5,3,0.6037037037037037,0.5333333333333333,3,0.63
corneillep-illusion-comique,L'Illusion Comique,Comedy,True,1.0,1,1.0,0.3333333333333333,3,0.7407407407407408,0.4,2,0.89,0.41818181818181815,2,0.8792207792207791,0.42424242424242425,3,0.8017195767195767
corneillep-medee-39,Médée,Tragedy,True,0.3333333333333333,2,0.3888888888888889,0.32142857142857145,4,0.25,0.39285714285714285,3,0.49166666666666664,0.5357142857142857,3,0.5916666666666667,0.4444444444444444,3,0.5111111111111111
corneillep-medee,Médée (1682),Tragedy,True,0.3333333333333333,2,0.3888888888888889,0.32142857142857145,4,0.25,0.39285714285714285,3,0.49166666666666664,0.5357142857142857,3,0.5916666666666667,0.4444444444444444,3,0.5111111111111111
corneillep-melite-33,Mélite ou Les Fausses Lettres,Comedy,True,0.4666666666666667,3,0.611111111111111,0.6,2,0.75,0.6428571428571429,2,0.6291666666666667,0.75,2,0.7625,0.75,2,0.7625
corneillep-melite,Mélite,Comedy,True,0.6,2,0.8666666666666666,0.6,2,0.75,0.6,2,0.75,0.6111111111111112,2,0.6656084656084656,0.7777777777777778,2,0.8031746031746032
corneillep-menteur,Le Menteur,Comedy,True,0.7333333333333333,2,0.8666666666666667,0.4722222222222222,2,0.6986772486772487,0.4666666666666667,2,0.729047619047619,0.5333333333333333,2,0.7304761904761905,0.6666666666666666,2,0.7761904761904762
corneillep-mort-pompee,La Mort de Pompée,Tragedy,True,0.8,2,0.8666666666666666,0.5238095238095238,3,0.8095238095238095,0.35555555555555557,4,0.6333333333333333,0.4,3,0.61,0.3484848484848485,3,0.6305555555555555
corneillep-nicomede,Nicomède,Tragedy,True,0.6,3,0.5333333333333333,0.35714285714285715,4,0.45416666666666666,0.5,3,0.5583333333333333,0.5714285714285714,3,0.6166666666666667,0.7857142857142857,2,0.9035714285714286
corneillep-oedipe,Oedipe,Tragedy,True,0.38095238095238093,3,0.6428571428571429,0.39285714285714285,3,0.6291666666666667,0.4642857142857143,3,0.6125,0.4444444444444444,3,0.6407407407407407,0.4727272727272727,3,0.7880952380952381
corneillep-othon,Othon,Tragedy,True,0.6666666666666666,2,0.5833333333333334,0.35714285714285715,4,0.48333333333333334,0.3333333333333333,4,0.5033333333333333,0.3090909090909091,3,0.5406926406926407,0.4230769230769231,3,0.77002442002442
