name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,datePremiered,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,numOfScenes,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"anonyme-deroute-des-precieuses","fre000023","","[anonyme]","0","La Déroute des Précieuses","Mascarade","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_DEROUTEDESPRECIEUSES.xml","","","","","1659","7","false","0","0.047619047619047616","1","colporteur-portant|le-colporteur-criant","0.2857142857142857","1","","","1659","1","7","0","3","4","0","6","1","","6","","0","6","1165","627","486","0","79"
"anonyme-dialogue-des-yeux-et-de-la-bouche","fre001503","","[anonyme]","0","Dialogue des Yeux et de la Bouche","","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_DIALOGUEDESYEUXETDELABOUCHE.xml","","","","","1659","2","false","0","1","1","la-bouche|les-yeux","1","1","","","1659","1","2","0","0","2","0","1","1","","1","","0","1","2175","2125","118","22","0"
"anonyme-dialogue-rousseau-voltaire","fre000024","","[anonyme]","0","Dialogue entre Voltaire et Rousseau","Après leur Passage du Styx","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_DIALOGUEROUSSEAUVOLTAIRE.xml","","","","","1778","2","false","0","1","1","rousseau|voltaire","1","1","","","1778","1","2","0","2","0","0","1","1","","1","","1","1","1671","1519","0","24","74"
"anonyme-dialogue-sur-les-vacances","fre001575","","[anonyme]","0","Dialogue sur les Vacances et les Ennuis de l'Ecole","Dialogue, Petits Discours, Récits Facétieux pour la Discrtibution des Prix de 1858.","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_DIALOGUESURLESVACANCES.xml","","","","","1858","7","false","1","1","1","several characters","6","1","","","1858","6","7","0","7","0","0","1","21","","1","","0","1","2839","2555","37","0","294"
"anonyme-jeu-d-esmoree","fre000025","","[anonyme]","0","Le Jeu d'Esmorée","Fils du Roi de Sicile","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_JEUDESMOREE.xml","","","","","1835","7","false","0.7761904761904762","0.6190476190476191","1.4285714285714286","esmoree|l-astrologue","3.7142857142857144","3","","","1835","5","7","2","2","3","0","1","13","","18","","0","18","8868","6051","33","119","0"
"anonyme-jus-du-pelerin","fre000026","","[anonyme]","1","Le Jus du Pelerin","","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_JUSDUPELERIN.xml","","","","","1834","7","false","1","1","1","several characters","6","1","","","1834","6","7","0","2","5","0","1","21","","1","","0","1","1185","1131","4","37","2"
"anonyme-la-complainte-de-la-femme-coupee","fre001574","","[anonyme]","0","La Complainte de la Femme Coupée en Morceaux","Prix : 10 centimes","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_COMPLAINTEFEMMECOUPEE.xml","","","","","1878","1","false","0","0","0","le-narrateur","0","0","","","1878","0","1","0","1","0","0","1","0","","1","","0","1","511","471","5","0","90"
"anonyme-le-normand-et-le-gascon","fre001577","","[anonyme]","0","Le Normand et le Gascon","Dialogue, ou Petite Scène.","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_NORMANDGASCON.xml","","","","","1858","4","false","0","0.3333333333333333","1","several characters","1","1","","","1858","1","4","0","0","4","0","2","2","","2","","0","1","1998","1710","52","2","186"
"anonyme-matinee-comedien-francais","fre000027","","[anonyme]","0","La Matinée du Comédien Français","Comédie","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_MATINEECOMEDIENFRANCAIS.xml","","","","","1785","5","false","0.7","0.7","1.3","belval","2.8","2","","","1785","4","5","1","3","1","0","1","7","","12","","1","12","6154","6040","72","249","0"
"anonyme-melisse","fre001576","","[anonyme]","0","Mélisse","Tragi-Comédie","Tragicomedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_MELISSE.xml","","","","","1879","11","false","0.7232323232323232","0.5818181818181818","1.288888888888889","alexis","5.818181818181818","2","","","1879","9","11","2","7","2","0","2","32","","30","","0","28","23216","18254","5","0","2066"
"anonyme-nouveau-catechisme-poissard","fre001578","","[anonyme]","0","Nouveau Catéchisme Poissard","Recueil de Tirades et Dialogues à l'Usage des Amusements du Carnaval","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_NOUVEAUCATECHISMEPOISSARD.xml","","","","","1840","10","false","0.15","0.17777777777777778","1.9545454545454546","la-poissarde","1.6","4","","","1840","4","10","4","5","1","0","3","8","","10","","0","0","4770","4675","0","21","448"
"anonyme-ouverture-de-la-seance","fre001579","","[anonyme]","0","Ouverture de la Séance","","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_OUVERTUREDELASEANCE.xml","","","","","1858","8","false","0.875","0.75","1","several characters","5.25","1","","","1858","6","8","0","7","1","0","2","21","","2","","0","2","2100","1833","40","61","0"
